id,Car,Model,Vin,year,DateSales,Address
774,Mercedes-Benz,M-Class,JHMFA3F23AS518884,2003,2002-10-22,Room 685
775,GMC,Canyon,JN1AZ4FH1FM236854,2008,,Room 1396
776,Infiniti,G37,1VWAS7A30FC295475,2011,2015-05-25,
777,Mitsubishi,Eclipse,JA4AS2AW5AZ775074,,,Room 1323
778,Buick,Coachbuilder,WVGFG9BP7CD875427,1993,,
779,Volkswagen,Passat,KNAGM4AD2E5321976,,2017-02-07,6th Floor
780,Isuzu,Axiom,YV4852CZ1A1652967,2003,,Room 1805
781,Mitsubishi,Mirage,WBALM7C52DE824864,1984,2022-08-13,Suite 87
782,Volkswagen,Passat,1D7RV1CP4BS561239,1996,,
783,Land Rover,Discovery,WBAXH5C50DD257022,2002,,
784,Chevrolet,Malibu,1FTEW1CM4BK092369,2012,2021-08-27,
785,Ford,Aerostar,1G6DH5E53C0627374,1988,2010-07-23,
786,Hyundai,Entourage,5UXFA13555L080971,2007,,
787,Ford,Bronco II,JH4DC53863C664439,1990,,PO Box 56303
788,Lincoln,Town Car,19XFA1F39AE762704,1984,,Room 599
789,GMC,Sonoma,SAJWA4GB8FL789576,1994,2010-06-24,
790,Infiniti,G,SCFAD01A48G521937,1994,,
791,BMW,3 Series,WAUKFBFL6AA117708,,2017-09-05,Room 1774
792,Chevrolet,Express 1500,3D7JB1EK4BG824733,2006,2010-09-30,PO Box 7048
793,Pontiac,Fiero,5UXFG83578L775738,,2005-09-06,
794,Jeep,Patriot,JH4CL95806C844617,2008,,Apt 1328
795,Toyota,4Runner,WAUAC68D11A731504,2004,,Room 353
796,Jeep,Wrangler,1G6YX36D795962731,2012,,Apt 630
797,GMC,3500 Club Coupe,1GD312CG5BF976981,1996,,Suite 91
798,Mercedes-Benz,SL-Class,2HNYD18452H988423,,2012-08-15,13th Floor
799,Pontiac,Grand Prix,WAUWGAFC6DN382277,2006,2010-08-17,
800,Volvo,V50,5N1AR2MM6FC568615,2006,,
801,GMC,Envoy XL,WAUBVAFB2AN921503,,2014-01-11,
802,Hyundai,Elantra,TRUWT28N421130198,2007,2000-07-26,6th Floor
803,Nissan,Pathfinder,WBAUP9C56DV875436,,,Room 445
804,Mercedes-Benz,CL-Class,1GYFC26229R610930,2007,2006-05-27,Room 1596
805,Toyota,Prius,1HGCR2E53EA573626,2012,2017-11-16,Apt 1130
806,GMC,Sierra 3500,WDDEJ7GB0CA320118,2011,2010-01-11,Apt 1756
807,Suzuki,Forenza,WAUMF78K99A016460,2005,,
808,Dodge,Ramcharger,1GKS1FEJ1CR908651,1993,,PO Box 48702
809,Ford,Expedition EL,WBAHN03577D661147,2010,2015-07-31,PO Box 25149
810,Subaru,Impreza,WAUDH68D11A318092,2007,2016-05-15,
811,Daewoo,Leganza,1FTMF1CW9AK482928,2001,2009-01-09,Suite 32
812,Infiniti,G,WAUDH94F58N950444,,2001-06-24,
813,Saturn,Outlook,1FTWX3B55AE332422,2009,,
814,Chevrolet,HHR,JN8AF5MR5DT141888,2007,2004-08-16,11th Floor
815,Honda,Civic,SAJWA6A7XF8445346,,,
816,Dodge,Caravan,WBASN2C57BC933356,,2014-09-12,
817,Mercury,Milan,SCBFT7ZA0FC748747,,2009-05-14,
818,Mercedes-Benz,S-Class,1GTN1TEX8BZ515532,1990,2022-05-17,Room 74
819,Dodge,Intrepid,1GD02ZCG1CF629013,,,PO Box 13352
820,Mazda,MPV,1GYFC56219R190482,2004,,
821,Chevrolet,Suburban 1500,WAUFGAFC0EN777038,2003,2019-07-29,Apt 991
822,GMC,3500 Club Coupe,2LMHJ5AR8AB270104,1996,2002-06-30,Suite 26
823,Nissan,Xterra,YV4952CF5D1758546,,2015-10-10,
824,Dodge,Ram 2500 Club,5UXZV4C53BL825117,,2013-02-04,
825,GMC,Savana 3500,1FTMF1E81AK255229,1999,2011-06-11,
826,Lexus,LX,WBABD33485J587351,2003,,
827,Isuzu,Trooper,WAUVT68E65A415600,,,Suite 54
828,Chrysler,Pacifica,JTMHY7AJ8F4612430,2005,2021-04-12,PO Box 32057
829,Chevrolet,Beretta,1FTSF3A55AE843177,1993,2016-06-24,
830,Dodge,Caravan,3C4PDDBG3DT859113,2001,2014-08-07,
831,Mazda,CX-7,1G4HD57287U451865,2010,,
832,Mitsubishi,Lancer,WAULD64B74N053316,2006,,
833,Dodge,Ram,1C4SDJCT5FC893797,1994,2011-06-22,
834,Ford,Escape,1G6AH5R30F0082833,2003,2019-07-26,Room 375
835,Mazda,B-Series Plus,1N6AA0CJ8DN197558,2000,,
836,Honda,CR-V,2G4GN5EK0C9495099,,,
837,Mitsubishi,Eclipse,JTEBU4BF1DK846794,2003,2002-09-04,PO Box 6726
838,Toyota,Cressida,KL4CJCSB1FB871863,1992,,Apt 352
839,Infiniti,G,1G4GJ5G31DF091741,2004,2002-01-16,
840,Saturn,Outlook,WAUDF78E38A469563,,2009-02-17,13th Floor
841,Infiniti,G37,WVGAV7AX3CW428281,,,
842,Volkswagen,GTI,JH4CU2F69BC327263,1989,,Suite 49
843,GMC,Savana 1500,JA4AS2AW6CU090808,1996,2007-07-12,
844,Chevrolet,Camaro,1G6DH577580925995,1985,2014-10-13,Room 731
845,Mazda,Protege,1FTSW2A5XAE310378,1995,2018-09-18,Suite 41
846,Eagle,Premier,1D7RB1CT4BS488539,1992,,11th Floor
847,Hyundai,Accent,SALME1D49AA744187,,,
848,Scion,xD,3GYFNCEY6AS687131,2012,2016-01-12,
849,Mazda,929,WBAEN33463E903068,,2015-04-05,
850,Lexus,LX,1FTWX3D52AE251326,2000,2018-06-23,Apt 754
851,Maserati,Quattroporte,JH4KB2F54AC239017,2005,,Apt 830
852,Chevrolet,Silverado 3500,KNALN4D70E5361684,,2000-07-15,Room 81
853,Mitsubishi,Truck,2C3CK3CV4AH771787,1995,,
854,Volvo,V70,1GYFK36239R830635,,,
855,Ferrari,F430,JN8AS5MT4AW514985,2008,,
856,Toyota,Matrix,WAUEF48H08K906345,2004,,
857,Ford,Ranger,SCFFDABE2CG608581,1993,,
858,Saab,9000,2G61S5S31E9595301,1989,,
859,GMC,Sierra 2500,1ZVBP8JZ8D5827623,2002,,
860,Ford,Aerostar,WAUEH78E36A463385,1987,2003-07-15,PO Box 43013
861,Lincoln,Town Car,1GYS3FEJ2CR820045,,,PO Box 41639
862,Audi,90,WVWBN7AN0FE027482,1989,2012-08-09,
863,Pontiac,Firebird,WAUXG94F09N478302,,2005-09-03,
864,Volkswagen,Golf,WVGAK7A94AD901737,,,
865,Cadillac,Escalade,1GYS4AEF6CR033918,,2007-05-22,
866,Mercedes-Benz,CLK-Class,1GYUKKEF6AR480296,2000,2017-01-04,Apt 1532
867,Cadillac,Eldorado,2C3CCAAG5CH362089,2002,2017-05-02,
868,Nissan,Frontier,WVWED7AJ0CW567756,2002,2005-02-08,
869,Kia,Sedona,1N4AB7APXEN519754,2011,,Suite 66
870,Toyota,Prius,WBAFR1C57BD813535,,,Apt 880
871,Audi,S5,WBSWL93579P879748,,2014-10-10,PO Box 73802
872,Toyota,Tacoma Xtra,JTDBT4K33A1217858,,,
873,Dodge,Charger,WBA3B1C54DF731423,2011,2002-11-16,
874,Isuzu,Impulse,1GYEE637X90862927,1992,2017-05-11,Apt 360
875,Nissan,Murano,3GYFNCE3XDS486891,,2018-08-19,
876,Volkswagen,Jetta,1FADP3E23EL459303,2006,2008-12-17,20th Floor
877,Mercury,Mariner,JTDZN3EU8EJ563871,2005,2006-04-25,19th Floor
878,Toyota,Yaris,5N1AA0ND4FN252676,2008,,
879,Suzuki,Equator,WAURD68D81A781395,2012,2014-01-23,
880,Toyota,RAV4,1GTC5MF90C8826090,,2001-11-29,PO Box 14838
881,Dodge,Viper,JTHKD5BH2C2872183,,,7th Floor
882,Mercedes-Benz,G-Class,WBABV13454J334763,2012,,Suite 23
883,Lamborghini,Gallardo,WAUSGCFC9CN531239,2010,2014-01-07,
884,Suzuki,Grand Vitara,1FTSW3A5XAE345766,2007,,12th Floor
885,Dodge,Caravan,WVWBB7AJ7DW788331,1995,,Apt 1432
886,Chevrolet,S10,3FADP0L39AR765721,2001,,Suite 58
887,Honda,Civic,1N4AL2APXAN491898,,,
888,Ford,Lightning,WAUBF78E96A562236,1994,2003-05-22,
889,Mazda,Mazdaspeed 3,1N6AA0CC3BN702713,2010,,
890,Isuzu,Amigo,1N6BF0KM7FN525086,1999,,
891,Mercury,Topaz,2C3CCABG2EH162644,,,
892,Buick,Century,JN1BY0AR2AM423027,,2014-11-02,PO Box 75655
893,Chevrolet,Silverado 2500,1G6DG5EG0A0346425,,2018-12-14,18th Floor
894,GMC,Sonoma Club,4USBT534X4L160431,1992,2007-06-26,PO Box 54379
895,Dodge,Dakota,SCBGR3ZA2CC016899,,,
896,Infiniti,G37,1GYEC63857R772592,2012,,9th Floor
897,Lincoln,Navigator L,2G61S5S36D9830273,2009,2008-08-02,14th Floor
898,Geo,Prizm,3GYFK66N25G444813,1993,2001-10-17,Apt 1906
899,Lexus,LS,1FMCU0D77AK830031,1998,2010-02-09,19th Floor
900,Ford,Escort,1C4RDJAG5DC976308,2004,2006-12-07,Apt 1329
901,Toyota,T100,JN8AF5MR9BT553941,,2020-12-03,
902,Ford,Crown Victoria,KMHTC6AD5CU944703,2008,,7th Floor
903,Mitsubishi,Montero,1N4AB7APXDN491579,1995,2010-11-27,PO Box 24971
904,Infiniti,FX,WAUFGAFB0AN014292,,,10th Floor
905,Volvo,850,WAUJT64B94N048063,1994,,
906,Ford,Escort,WAULFAFR5CA232841,1994,,
907,Chrysler,LeBaron,5TDBY5G17ES655418,1994,,10th Floor
908,Ferrari,599 GTB Fiorano,WP0AB2A89CU092477,2008,,
909,Infiniti,G37,WAUEH78E17A167766,2008,,
910,Ford,Taurus,WBABS33442P959038,2013,2017-01-26,
911,Mazda,Miata MX-5,1G6AJ1R3XF0762526,2004,,20th Floor
912,Plymouth,Colt Vista,4T1BF1FK5EU439146,,2016-12-08,
913,Dodge,Intrepid,WBA3B9C59FF740118,2004,2021-08-21,
914,Toyota,Camry,1G6AB5R39E0873930,2003,,
915,Eagle,Summit,WA1C8BFP3DA505952,1995,,18th Floor
916,Chrysler,Sebring,SCBBR53W068783572,2000,2012-04-15,
917,GMC,Yukon XL 2500,1G6AC1RX7F0211533,2003,2009-08-20,Room 1305
918,Cadillac,XLR,1N6AF0LY4EN561636,,,PO Box 75164
919,Toyota,Supra,2G4WC552961812902,,2016-07-29,
920,Infiniti,G,5TDBCRFH1FS254971,1996,2016-08-23,9th Floor
921,Lexus,LS,WA1BV94L88D607958,,2006-10-07,
922,Dodge,Avenger,WA1LFAFP7FA949953,2009,2000-06-11,Apt 282
923,Mercedes-Benz,SL-Class,5LMJJ3H56DE044489,2003,2016-08-30,
924,Oldsmobile,Bravada,WBAUP9C54DV224449,1998,2003-09-16,
925,Mercedes-Benz,S-Class,3C4PDDGG6ET569474,2005,2007-03-12,
926,Mercedes-Benz,M-Class,WBAVC73518A691961,2011,,PO Box 26725
927,Maybach,Landaulet,WVGAV7AXXAW059304,2012,2006-07-27,
928,Toyota,Camry,1GKUKGEJ2AR949539,2004,2003-05-20,
929,Mitsubishi,Diamante,WBANW53518C728684,2001,2001-05-02,
930,Mercury,Cougar,KNAFK4A66E5536098,2000,2011-08-10,Room 1408
931,Dodge,Dakota,3N1AB6AP5CL501862,1999,2016-02-16,
932,Dodge,Neon,3VWJX7AJ5AM238230,1998,2021-09-11,
933,Ford,Taurus,1G6DS5EV6A0742596,,2011-04-21,
934,Mazda,Tribute,5N1AR2MM0FC702213,2011,2014-11-02,9th Floor
935,Ford,Model T,KMHFG4JG6DA383916,1909,2008-11-07,Room 557
936,Lexus,IS-F,19UUA9F58CA916172,2010,,
937,Volvo,850,SCFAD06D29G321885,1994,,
938,BMW,8 Series,1FT7W2A67EE700438,1994,2020-05-07,Suite 2
939,Cadillac,DTS,1G4GB5ER8CF138718,,2006-12-01,
940,Chevrolet,Silverado 2500,1FMEU6DE4AU802802,,2007-03-17,Suite 84
941,Honda,S2000,JTDBT4K39A1304552,2001,2002-07-05,Apt 969
942,Jaguar,XJ,5FNRL5H26BB291898,,2019-07-25,
943,Audi,S6,19UUA8F52EA844107,,,Room 473
944,Hyundai,Accent,5NPDH4AE0BH341268,1998,2010-01-30,6th Floor
945,Ford,Taurus,1G4HP54K044592405,2000,2016-04-16,
946,Hyundai,Sonata,1ZVBP8AM7C5928025,2000,2008-05-06,Room 1782
947,Saab,9-2X,JN1CV6FE8BM224846,,,
948,Chrysler,PT Cruiser,WDDGF5EB1AF214360,2006,,
949,Pontiac,Firebird,WBAAV53461J115812,1999,2002-02-12,Room 1041
950,Infiniti,Q,2C3CA5CV7AH361385,1999,2020-09-22,Room 648
951,Mazda,MX-6,WAUMF78KX9A372562,,,
952,Infiniti,QX56,WBA3C3C57EK474422,2011,2019-05-08,5th Floor
953,BMW,X5,JHMGE8G26AC323957,2010,,
954,Infiniti,G37,KL4CJCSB9EB464324,2012,,Apt 1641
955,Audi,Q7,WBAVC73577K268634,2008,,Suite 45
956,Ferrari,FF,1N6AD0CU2CN825629,2012,,
957,Mercury,Mariner,WBAKF9C53CE746854,2010,2013-12-23,
958,Aston Martin,Vantage,JN8AE2KP5B9330909,,2001-06-15,
959,Toyota,Celica,WAU4GAFB0AN406700,,2006-08-03,5th Floor
960,Pontiac,G8,JTDZN3EU3FJ175822,2009,2012-07-04,19th Floor
961,Ford,Escort,3GYFNFEY9BS845996,1990,2006-06-22,2nd Floor
962,Honda,S2000,5GADV33LX5D617630,2004,,Apt 66
963,Ford,Fiesta,1N6AA0CA3DN555097,2011,,
964,Honda,Prelude,SCBBR93W48C436267,1986,,Room 1493
965,Subaru,Justy,WAUKFAFL8CA616197,1994,2016-06-07,Apt 124
966,Mitsubishi,Truck,WAUGL98E58A595084,1994,2018-05-09,
967,Ford,Escort,WVGEF9BP4DD372194,1985,2011-10-10,Apt 1981
968,Lamborghini,Murciélago,JM1NC2NF5E0292998,2003,2000-11-25,Room 18
969,Plymouth,Sundance,2C3CDZFJXFH385615,1993,2018-10-16,
970,Toyota,Land Cruiser,WA1VGAFP9FA232430,1997,,
971,Chevrolet,Monte Carlo,3GYEK62N54G900500,2007,,PO Box 91548
972,Chrysler,Town & Country,JH4KA96502C323526,2010,,
973,Mercury,Marquis,1G6DF5EY7B0463416,1984,2020-01-07,
974,Toyota,Supra,WBAYG6C52FD227133,1993,2018-08-16,Room 870
975,Cadillac,Seville,1G6DG8E54D0847659,1994,2008-07-22,4th Floor
976,Daewoo,Lanos,WAUEH94F07N628944,2002,,
977,Porsche,944,1D7RB1GK8AS446715,1988,2007-06-29,
978,Kia,Mentor,1FTKR1AD8AP213774,,2016-07-18,Apt 1863
979,Nissan,Quest,WAUEH54B81N561832,1997,,PO Box 78417
980,Hyundai,Excel,WBA3V7C59F5272165,1992,2004-07-28,
981,Lexus,ES,3D7TT2HT6AG648251,1989,2000-03-06,
982,Pontiac,Aztek,1N4AL2AP1AC240408,2005,2007-07-12,
983,Honda,Odyssey,WBALL5C50DE569252,2012,2001-08-21,
984,Lexus,ES,SCFBF03B78G332056,2010,2002-10-19,
985,GMC,Sierra 2500,3CZRE3H35AG729949,2006,,Room 477
986,Plymouth,Neon,KMHHT6KD9AU825635,1995,2000-05-31,Suite 91
987,Chevrolet,1500,SCBBR9ZA9CC277623,,2020-02-29,
988,Ford,F250,1C3CCBAB0DN459008,1984,,Room 425
989,Pontiac,6000,1C4PJLAB8FW159836,1991,,
990,Chevrolet,Silverado 1500,WAUGGAFC2CN061324,,,
991,Dodge,Grand Caravan,3CZRE3H59BG287728,2000,2016-03-09,
992,Lincoln,Town Car,3C4PDDDGXDT657396,1999,2008-03-29,Room 1383
993,Land Rover,Range Rover,19XFA1E31AE704216,2003,2015-03-29,
994,Infiniti,J,WAU4FAFL2CA797032,1997,2021-03-08,
995,Pontiac,GTO,3D4PH6FG9BT418662,1971,,
996,Chevrolet,Corvette,WBA3A9G50CN668496,,2014-08-25,Apt 1251
997,Ford,Fusion,2FMGK5BC1CB177262,2011,2011-08-16,
998,Lincoln,Continental Mark VII,3VWML7AJ6DM069395,,,
999,Scion,xD,1FTMF1E82AK946821,2012,2015-05-15,
1000,Audi,100,1GYS4FEJ9DR189826,1993,,16th Floor
